"category","source","name","cause","death"
"singers","http://www.wikidata.org/entity/Q419501","Akiyuki Nosaka",,"2015-12-09T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q419501","Akiyuki Nosaka",,"2015-12-09T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q278980","Akkineni Nageswara Rao",,"2014-01-22T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q420512","Akong Rinpoche",,"2013-10-08T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12300808","Aksel Rasmussen",,"2011-12-15T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4703734","Al Debbo",,"2011-07-13T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2118140","Al Freeman",,"2012-08-09T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4141395","Al Goldstein",,"2013-12-19T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q934917","Al Israel",,"2011-03-16T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q4704158","Al Johnson",,"2013-10-26T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q21997855","Al Markim",,"2015-11-24T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q1281712","Al Molinaro","gallstone","2015-10-30T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2089783","Al Ruscio",,"2013-11-12T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q1745923","Al Russell",,"2011-12-24T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q15117364","Alain Bosquet",,"2012-06-02T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q1235728","Alain Decaux",,"2016-03-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2636400","Alain Franck",,"2014-03-21T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2829942","Alain Jouffroy",,"2015-12-20T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q15973171","Alain Ménil",,"2012-06-05T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q16269711","Alain Moloto",,"2013-08-02T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2830128","Alain Nadaud",,"2015-06-12T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q8328678","Alain Quercy",,"2012-06-24T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2830201","Alain Rais",,"2011-06-01T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q15207865","Alain Recoing",,"2013-11-15T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q218022","Alain Resnais",,"2014-03-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2830271","Alain Scoff",,"2013-01-20T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q920584","Alan Bridges",,"2013-12-07T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4706283","Alan Burns",,"2014-01-13T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4377101","Alan Caruba",,"2015-06-15T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3607703","Alan F. Alford",,"2011-11-14T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q9593760","Alan Fontaine",,"2011-01-04T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4706794","Alan Haines",,"2011-04-17T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q1886056","Alan J. Dixon",,"2014-07-06T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4707115","Alan Landsburg",,"2014-08-14T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q4707438","Alan O'Day","brain tumor","2013-05-17T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4707510","Alan Pegler",,"2012-03-18T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q106481","Alan Rickman","pancreatic cancer","2016-01-14T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4707654","Alan Rodgers",,"2014-03-08T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q1374127","Alan Rubin","lung cancer","2011-06-08T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2636835","Alan Seymour",,"2015-03-23T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4707749","Alan Sharp",,"2013-02-08T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2830600","Alan Sues","myocardial infarction","2011-12-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q14949134","Alan T. Peacock",,"2014-08-02T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q277895","Alan Thicke",,"2016-12-13T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q726280","Alan Vega",,"2016-07-16T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q555246","Alan Young",,"2016-05-19T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12850171","Alasgar Mammadoglu",,"2015-12-21T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q16088749","Alaviyya Babayeva",,"2014-09-23T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q16326101","Alba Castillo",,"2013-02-13T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q5662463","Alba Solís",,"2016-02-03T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q18923453","Albert Brie",,"2015-10-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q16189691","Albert Compte i Freixanet",,"2014-02-25T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3391400","Albert Filozov",,"2016-04-11T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2831279","Albert Jacquard",,"2013-09-11T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q644186","Albert Manent",,"2014-04-14T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2638441","Albert Manser",,"2011-01-12T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3608065","Albert Murray",,"2013-08-18T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q215949","Albert O. Hirschman",,"2012-12-10T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q2831478","Albert Poulain",,"2015-10-06T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12088622","Albert V. Verbets",,"2015-12-14T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3301051","Albert Vërria",,"2015-08-17T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q2237295","Albert West",,"2015-06-04T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q71176","Albert, Margrave of Meissen",,"2012-10-06T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q519348","Alberta Adams",,"2014-12-25T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q262389","Alberta Watson",,"2015-03-21T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3608120","Alberto Anchart",,"2011-10-31T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3608140","Alberto Baumann",,"2014-11-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q1130258","Alberto Bevilacqua","myocardial infarction","2013-09-09T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4711971","Alberto Cañas Escalante",,"2014-06-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q16019398","Alberto González",,"2012-09-23T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q20012966","Alberto González Arzac",,"2014-06-02T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q316310","Alberto Granado",,"2011-03-05T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2831782","Alberto Laiseca",,"2016-12-22T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q20820757","Alberto Paz Soldán",,"2014-04-19T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q5663437","Alberto Podestá",,"2015-12-09T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q547048","Alberto Seixas Santos",,"2016-12-10T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q16145101","Alberto Valdiri",,"2014-12-20T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q18009093","Albina Matveeva",,"2016-12-05T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3608770","Albino Bernardini",,"2015-03-31T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q22915166","Albrecht Delling",,"2014-01-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2639804","Albrecht Rechberg",,"2013-05-30T00:00:00Z"
